task,owner_hint,requirement_id,authority_kind,review_status,source_uri_status,source_uri,source_file,snapshot_out,intake_out,issuer,subject,issued_at,expires_at,description,blocking_reasons,remediation_action
agent-inventory-and-identity:identity-provider,IAM/identity owner,agent-inventory-and-identity,identity-provider,blocked,placeholder,REPLACE_WITH_LIVE_AUTHORITY_URI,artifacts/external-evidence-sources/agent-inventory-and-identity/identity-provider.json,artifacts/external-evidence-sources/agent-inventory-and-identity/identity-provider.json,artifacts/external-evidence-intakes/agent-inventory-and-identity/identity-provider.json,REPLACE_WITH_AUTHORITY_ISSUER,REPLACE_WITH_AUTHORITY_SUBJECT_FOR_agent-inventory-and-identity:identity-provider,REPLACE_WITH_RFC3339_ISSUED_AT,REPLACE_WITH_RFC3339_EXPIRES_AT,Production authority evidence for agent-inventory-and-identity:identity-provider,placeholder-source-uri,"replace source_uri and authority metadata with a live production authority-owned source, then regenerate the submission review"
agent-inventory-and-identity:provider-api,integration/platform owner,agent-inventory-and-identity,provider-api,blocked,placeholder,REPLACE_WITH_LIVE_AUTHORITY_URI,artifacts/external-evidence-sources/agent-inventory-and-identity/provider-api.json,artifacts/external-evidence-sources/agent-inventory-and-identity/provider-api.json,artifacts/external-evidence-intakes/agent-inventory-and-identity/provider-api.json,REPLACE_WITH_AUTHORITY_ISSUER,REPLACE_WITH_AUTHORITY_SUBJECT_FOR_agent-inventory-and-identity:provider-api,REPLACE_WITH_RFC3339_ISSUED_AT,REPLACE_WITH_RFC3339_EXPIRES_AT,Production authority evidence for agent-inventory-and-identity:provider-api,placeholder-source-uri,"replace source_uri and authority metadata with a live production authority-owned source, then regenerate the submission review"
auditor-and-review-portal:hosted-service,service owner,auditor-and-review-portal,hosted-service,blocked,placeholder,REPLACE_WITH_LIVE_AUTHORITY_URI,artifacts/external-evidence-sources/auditor-and-review-portal/hosted-service.json,artifacts/external-evidence-sources/auditor-and-review-portal/hosted-service.json,artifacts/external-evidence-intakes/auditor-and-review-portal/hosted-service.json,REPLACE_WITH_AUTHORITY_ISSUER,REPLACE_WITH_AUTHORITY_SUBJECT_FOR_auditor-and-review-portal:hosted-service,REPLACE_WITH_RFC3339_ISSUED_AT,REPLACE_WITH_RFC3339_EXPIRES_AT,Production authority evidence for auditor-and-review-portal:hosted-service,placeholder-source-uri,"replace source_uri and authority metadata with a live production authority-owned source, then regenerate the submission review"
auditor-and-review-portal:identity-provider,IAM/identity owner,auditor-and-review-portal,identity-provider,blocked,placeholder,REPLACE_WITH_LIVE_AUTHORITY_URI,artifacts/external-evidence-sources/auditor-and-review-portal/identity-provider.json,artifacts/external-evidence-sources/auditor-and-review-portal/identity-provider.json,artifacts/external-evidence-intakes/auditor-and-review-portal/identity-provider.json,REPLACE_WITH_AUTHORITY_ISSUER,REPLACE_WITH_AUTHORITY_SUBJECT_FOR_auditor-and-review-portal:identity-provider,REPLACE_WITH_RFC3339_ISSUED_AT,REPLACE_WITH_RFC3339_EXPIRES_AT,Production authority evidence for auditor-and-review-portal:identity-provider,placeholder-source-uri,"replace source_uri and authority metadata with a live production authority-owned source, then regenerate the submission review"
auditor-and-review-portal:kms-hsm,security/platform KMS owner,auditor-and-review-portal,kms-hsm,blocked,placeholder,REPLACE_WITH_LIVE_AUTHORITY_URI,artifacts/external-evidence-sources/auditor-and-review-portal/kms-hsm.json,artifacts/external-evidence-sources/auditor-and-review-portal/kms-hsm.json,artifacts/external-evidence-intakes/auditor-and-review-portal/kms-hsm.json,REPLACE_WITH_AUTHORITY_ISSUER,REPLACE_WITH_AUTHORITY_SUBJECT_FOR_auditor-and-review-portal:kms-hsm,REPLACE_WITH_RFC3339_ISSUED_AT,REPLACE_WITH_RFC3339_EXPIRES_AT,Production authority evidence for auditor-and-review-portal:kms-hsm,placeholder-source-uri,"replace source_uri and authority metadata with a live production authority-owned source, then regenerate the submission review"
auditor-and-review-portal:provider-api,integration/platform owner,auditor-and-review-portal,provider-api,blocked,placeholder,REPLACE_WITH_LIVE_AUTHORITY_URI,artifacts/external-evidence-sources/auditor-and-review-portal/provider-api.json,artifacts/external-evidence-sources/auditor-and-review-portal/provider-api.json,artifacts/external-evidence-intakes/auditor-and-review-portal/provider-api.json,REPLACE_WITH_AUTHORITY_ISSUER,REPLACE_WITH_AUTHORITY_SUBJECT_FOR_auditor-and-review-portal:provider-api,REPLACE_WITH_RFC3339_ISSUED_AT,REPLACE_WITH_RFC3339_EXPIRES_AT,Production authority evidence for auditor-and-review-portal:provider-api,placeholder-source-uri,"replace source_uri and authority metadata with a live production authority-owned source, then regenerate the submission review"
auditor-and-review-portal:regulator,legal/compliance owner,auditor-and-review-portal,regulator,blocked,placeholder,REPLACE_WITH_LIVE_AUTHORITY_URI,artifacts/external-evidence-sources/auditor-and-review-portal/regulator.json,artifacts/external-evidence-sources/auditor-and-review-portal/regulator.json,artifacts/external-evidence-intakes/auditor-and-review-portal/regulator.json,REPLACE_WITH_AUTHORITY_ISSUER,REPLACE_WITH_AUTHORITY_SUBJECT_FOR_auditor-and-review-portal:regulator,REPLACE_WITH_RFC3339_ISSUED_AT,REPLACE_WITH_RFC3339_EXPIRES_AT,Production authority evidence for auditor-and-review-portal:regulator,placeholder-source-uri,"replace source_uri and authority metadata with a live production authority-owned source, then regenerate the submission review"
byoc-self-hosted:ci-run,release engineering,byoc-self-hosted,ci-run,blocked,placeholder,REPLACE_WITH_LIVE_AUTHORITY_URI,artifacts/external-evidence-sources/byoc-self-hosted/ci-run.json,artifacts/external-evidence-sources/byoc-self-hosted/ci-run.json,artifacts/external-evidence-intakes/byoc-self-hosted/ci-run.json,REPLACE_WITH_AUTHORITY_ISSUER,REPLACE_WITH_AUTHORITY_SUBJECT_FOR_byoc-self-hosted:ci-run,REPLACE_WITH_RFC3339_ISSUED_AT,REPLACE_WITH_RFC3339_EXPIRES_AT,Production authority evidence for byoc-self-hosted:ci-run,placeholder-source-uri,"replace source_uri and authority metadata with a live production authority-owned source, then regenerate the submission review"
byoc-self-hosted:cloud-object-lock,cloud storage owner,byoc-self-hosted,cloud-object-lock,blocked,placeholder,REPLACE_WITH_LIVE_AUTHORITY_URI,artifacts/external-evidence-sources/byoc-self-hosted/cloud-object-lock.json,artifacts/external-evidence-sources/byoc-self-hosted/cloud-object-lock.json,artifacts/external-evidence-intakes/byoc-self-hosted/cloud-object-lock.json,REPLACE_WITH_AUTHORITY_ISSUER,REPLACE_WITH_AUTHORITY_SUBJECT_FOR_byoc-self-hosted:cloud-object-lock,REPLACE_WITH_RFC3339_ISSUED_AT,REPLACE_WITH_RFC3339_EXPIRES_AT,Production authority evidence for byoc-self-hosted:cloud-object-lock,placeholder-source-uri,"replace source_uri and authority metadata with a live production authority-owned source, then regenerate the submission review"
byoc-self-hosted:customer,customer success/account owner,byoc-self-hosted,customer,blocked,placeholder,REPLACE_WITH_LIVE_AUTHORITY_URI,artifacts/external-evidence-sources/byoc-self-hosted/customer.json,artifacts/external-evidence-sources/byoc-self-hosted/customer.json,artifacts/external-evidence-intakes/byoc-self-hosted/customer.json,REPLACE_WITH_AUTHORITY_ISSUER,REPLACE_WITH_AUTHORITY_SUBJECT_FOR_byoc-self-hosted:customer,REPLACE_WITH_RFC3339_ISSUED_AT,REPLACE_WITH_RFC3339_EXPIRES_AT,Production authority evidence for byoc-self-hosted:customer,placeholder-source-uri,"replace source_uri and authority metadata with a live production authority-owned source, then regenerate the submission review"
